model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 Polo,2019,20750,Semi-Auto,2500,Petrol,145,39.8,2.0,VW,38504
 A3,2017,15495,Manual,12033,Petrol,20,60.1,1.0,Audi,29163
 A3,2017,18950,Manual,14644,Petrol,145,54.3,1.5,Audi,44021
 Q5,2018,27442,Semi-Auto,24000,Diesel,145,56.5,2.0,Audi,3314
 Q5,2014,14790,Manual,65374,Diesel,200,47.9,2.0,Audi,33
 A1,2016,11995,Semi-Auto,30887,Petrol,30,57.6,1.4,Audi,7456
 E Class,2016,16469,Automatic,47288,Diesel,125,60.1,2.1,Mercedes,44175
 Polo,2015,8995,Manual,24857,Petrol,20,60.1,1.2,VW,13201
 Tiguan,2018,18799,Automatic,11278,Diesel,145,49.6,2.0,VW,26209
 Sharan,2018,19850,Semi-Auto,19966,Diesel,145,54.3,2.0,VW,37597
 3 Series,2016,15199,Automatic,84252,Hybrid,0,134.5,2.0,BMW,23704
 X3,2014,9990,Automatic,107000,Diesel,165,50.4,2.0,BMW,10601
 Q3,2016,16995,Semi-Auto,61260,Diesel,160,50.4,2.0,Audi,8372
 Golf,2019,19491,Manual,4256,Petrol,150,45.6,1.5,VW,18190
 Sharan,2019,29989,Semi-Auto,9800,Diesel,145,41.5,2.0,VW,1283
 Polo,2016,10500,Manual,16600,Petrol,20,60.1,1.2,VW,571
 Q2,2017,15900,Manual,31000,Petrol,150,55.4,1.0,Audi,13573
 C Class,2015,16998,Semi-Auto,66796,Hybrid,0,74.3,2.1,Mercedes,42386
 Golf,2018,14499,Automatic,36446,Diesel,145,72.4,1.6,VW,1987
 1 Series,2008,2999,Manual,92000,Petrol,200,44.1,2.0,BMW,19892
 Polo,2017,10000,Manual,38789,Petrol,20,60.1,1.2,VW,18997
 B Class,2020,26500,Semi-Auto,2000,Diesel,145,55.4,2.0,Mercedes,20615
 A6,2016,16600,Manual,32808,Diesel,30,61.4,2.0,Audi,16268
 1 Series,2015,15499,Automatic,32000,Petrol,235,37.7,3.0,BMW,40964
 C Class,2018,29499,Automatic,1988,Petrol,145,44.1,2.0,Mercedes,18741
 Q2,2018,17250,Manual,18887,Petrol,145,52.3,1.4,Audi,31745
 Q3,2014,11500,Manual,72890,Diesel,145,54.3,2.0,Audi,20430
 X5,2019,45463,Semi-Auto,5345,Diesel,145,37.7,3.0,BMW,36129
 C Class,2015,11200,Automatic,34799,Diesel,145,53.3,2.1,Mercedes,22320
 Golf,2015,9999,Manual,28863,Diesel,0,74.3,1.6,VW,41298
 GLC Class,2019,30049,Semi-Auto,11614,Diesel,145,56.5,2.1,Mercedes,7719
 Polo,2019,18989,Semi-Auto,2658,Petrol,145,39.8,2.0,VW,44406
 A5,2011,12484,Automatic,59468,Diesel,235,42.8,3.0,Audi,40219
 1 Series,2019,19598,Semi-Auto,11308,Diesel,145,67.3,2.0,BMW,41244
 Tiguan,2019,33950,Manual,8000,Diesel,145,42.8,2.0,VW,19737
 Golf,2017,18000,Automatic,37400,Diesel,150,57.7,2.0,VW,4858
 A1,2017,11490,Manual,27804,Petrol,30,57.6,1.4,Audi,1233
 A Class,2016,34981,Semi-Auto,13912,Petrol,240,40.9,2.0,Mercedes,8634
 A6,2019,30985,Automatic,1863,Diesel,145,47.9,2.0,Audi,46333
 C Class,2017,20249,Automatic,22011,Diesel,145,61.4,2.1,Mercedes,24998
 A4,2019,24946,Automatic,11001,Diesel,145,47.1,2.0,Audi,3484
 Scirocco,2016,13490,Manual,36000,Diesel,20,55.4,2.0,VW,34175
 C Class,2018,34480,Automatic,13500,Petrol,150,35.3,3.0,Mercedes,28092
 Golf,2018,26000,Automatic,18815,Petrol,145,39.8,2.0,VW,665
 Up,2019,9599,Manual,1025,Petrol,145,54.3,1.0,VW,41410
 Q2,2019,19950,Manual,5000,Diesel,145,49.6,1.6,Audi,24181
 GLA Class,2015,16800,Automatic,38615,Diesel,20,62.8,2.1,Mercedes,16456
 Q3,2014,14995,Semi-Auto,25440,Petrol,150,45.6,1.4,Audi,30206
 A Class,2019,24480,Semi-Auto,9,Diesel,145,67.3,1.5,Mercedes,3842
 Polo,2017,10172,Manual,31558,Petrol,145,60.1,1.2,VW,44433
 E Class,2016,20298,Semi-Auto,25273,Diesel,145,54.3,3.0,Mercedes,4881
 TT,2016,37000,Semi-Auto,25529,Petrol,300,34.0,2.5,Audi,31681
 A1,2016,11000,Manual,39151,Diesel,0,76.3,1.6,Audi,19629
 A3,2019,23950,Semi-Auto,3670,Diesel,145,51.4,2.0,Audi,43861
 GLC Class,2016,31490,Automatic,43500,Petrol,305,34.0,3.0,Mercedes,6988
 A6,2016,17000,Automatic,77700,Diesel,125,58.9,2.0,Audi,35567
 C Class,2017,18350,Semi-Auto,42000,Diesel,30,64.2,2.1,Mercedes,44298
 A1,2016,12500,Manual,26705,Petrol,30,58.9,1.4,Audi,41110
 5 Series,2016,15699,Automatic,30767,Diesel,30,62.8,2.0,BMW,8969
 3 Series,2019,31490,Manual,4503,Diesel,150,54.3,2.0,BMW,11673
 CL Class,2015,22200,Automatic,40564,Petrol,200,39.8,2.0,Mercedes,19178
 GLC Class,2017,29400,Semi-Auto,25686,Diesel,145,56.5,2.1,Mercedes,38924
 C Class,2018,39249,Automatic,7297,Petrol,145,29.7,3.0,Mercedes,15687
 C Class,2017,16595,Automatic,29814,Diesel,20,65.7,2.1,Mercedes,8066
 Q3,2016,20700,Semi-Auto,10633,Petrol,145,47.9,1.4,Audi,43306
 Q5,2019,34412,Semi-Auto,5990,Diesel,145,38.2,2.0,Audi,19792
 C Class,2018,28480,Semi-Auto,3748,Petrol,145,44.1,1.5,Mercedes,43221
 GLA Class,2020,28900,Semi-Auto,20,Petrol,145,35.8,1.6,Mercedes,19175
 CL Class,2019,26499,Semi-Auto,9348,Diesel,145,51.4,2.2,Mercedes,41660
 B Class,2019,23999,Semi-Auto,2067,Diesel,145,55.4,2.0,Mercedes,11899
 Q5,2020,53990,Semi-Auto,6000,Diesel,145,34.5,3.0,Audi,21868
 T-Cross,2020,21495,Automatic,500,Petrol,145,45.6,1.0,VW,9461
 A Class,2017,15490,Automatic,23000,Diesel,145,68.9,2.1,Mercedes,32473
 A3,2019,24950,Semi-Auto,3300,Diesel,145,50.4,2.0,Audi,19197
 Golf SV,2019,22798,Manual,10,Petrol,145,43.5,1.5,VW,351
 C Class,2020,40991,Semi-Auto,1000,Diesel,145,55.4,2.0,Mercedes,21944
 A6,2016,23495,Semi-Auto,28332,Diesel,160,50.4,3.0,Audi,6877
 2 Series,2017,21499,Automatic,19502,Petrol,145,39.8,3.0,BMW,45005
 Q7,2018,42950,Automatic,23000,Diesel,145,32.8,3.0,Audi,36717
 C Class,2019,42900,Semi-Auto,10204,Petrol,145,29.1,3.0,Mercedes,45868
 Tiguan,2016,14990,Manual,31202,Diesel,125,58.9,2.0,VW,25519
 3 Series,2016,12991,Manual,37594,Diesel,30,62.8,2.0,BMW,27159
 GLA Class,2015,19599,Semi-Auto,16633,Petrol,200,42.8,2.0,Mercedes,31601
 E Class,2019,34640,Semi-Auto,2824,Diesel,150,42.8,3.0,Mercedes,11478
 A3,2019,31450,Automatic,351,Petrol,150,34.9,2.0,Audi,19340
 A Class,2018,19599,Automatic,6405,Diesel,145,65.7,1.5,Mercedes,5483
 GLA Class,2019,26599,Semi-Auto,4155,Diesel,150,56.5,2.1,Mercedes,3966
 2 Series,2019,22775,Manual,10,Diesel,145,51.4,2.0,BMW,5814
 4 Series,2019,30766,Automatic,123,Diesel,145,60.1,2.0,BMW,20694
 1 Series,2015,11599,Manual,14714,Diesel,20,72.4,1.5,BMW,30816
 3 Series,2017,20990,Semi-Auto,6971,Diesel,125,60.1,2.0,BMW,35496
 Polo,2019,12990,Manual,14332,Petrol,145,52.3,1.0,VW,10058
 3 Series,2013,8399,Manual,65001,Diesel,20,68.9,2.0,BMW,24121
 X5,2019,47950,Semi-Auto,6960,Diesel,150,37.7,3.0,BMW,30957
 3 Series,2017,17000,Semi-Auto,22639,Petrol,150,48.7,2.0,BMW,8963
 Golf,2019,16995,Manual,5365,Diesel,145,57.7,1.6,VW,22049
 1 Series,2019,25490,Semi-Auto,2510,Diesel,145,51.4,2.0,BMW,29155
 A1,2017,11990,Manual,26994,Diesel,0,76.3,1.6,Audi,19364
 A4,2018,19295,Automatic,33632,Petrol,145,50.4,1.4,Audi,25553
 GLC Class,2019,27991,Semi-Auto,8811,Diesel,145,41.5,2.1,Mercedes,9947
 C Class,2018,24990,Semi-Auto,10010,Petrol,145,46.3,1.5,Mercedes,18256
 X5,2019,46875,Semi-Auto,8318,Diesel,145,37.7,3.0,BMW,14016
 Q2,2019,23888,Semi-Auto,4165,Petrol,145,42.2,1.5,Audi,2741
 2 Series,2019,23450,Automatic,6127,Diesel,145,49.6,2.0,BMW,13958
 5 Series,2014,12700,Automatic,59239,Diesel,150,55.4,2.0,BMW,44543
 A3,2018,15995,Manual,17547,Petrol,150,56.5,1.5,Audi,25794
 A3,2019,19888,Automatic,8274,Petrol,145,45.6,1.0,Audi,11805
 A4,2018,31500,Semi-Auto,16600,Petrol,145,38.7,3.0,Audi,32610
 B Class,2019,24987,Automatic,7676,Diesel,145,55.4,2.0,Mercedes,39551
 Golf,2016,13700,Automatic,29386,Diesel,0,72.4,1.6,VW,27153
 A5,2020,40990,Semi-Auto,2900,Diesel,145,44.8,2.0,Audi,14807
 A3,2015,19999,Automatic,26670,Petrol,200,40.9,2.0,Audi,18850
 Tiguan,2019,27998,Semi-Auto,10,Diesel,145,39.8,2.0,VW,36821
 A4,2016,12255,Manual,42214,Petrol,125,53.3,1.4,Audi,23660
 Polo,2016,9250,Manual,43250,Petrol,20,60.1,1.2,VW,993
 Polo,2018,12295,Manual,15055,Petrol,150,64.2,1.0,VW,6711
 T-Cross,2020,17490,Manual,3882,Diesel,145,53.3,1.6,VW,28286
 2 Series,2019,20980,Manual,101,Petrol,145,52.3,1.5,BMW,34220
 X1,2015,17700,Automatic,27460,Diesel,125,57.6,2.0,BMW,44505
 A4,2017,15490,Manual,21541,Diesel,145,74.3,2.0,Audi,28159
 1 Series,2019,17480,Manual,5230,Diesel,145,68.9,2.0,BMW,6508
 T-Roc,2018,20295,Manual,10467,Petrol,145,53.3,1.5,VW,41721
 A4,2020,28500,Manual,1000,Petrol,145,39.2,2.0,Audi,24649
 5 Series,2019,26798,Semi-Auto,16128,Diesel,145,60.1,2.0,BMW,10117
 Up,2018,7990,Manual,1171,Petrol,145,54.3,1.0,VW,26140
 Sharan,2017,20990,Automatic,20000,Diesel,150,53.3,2.0,VW,8429
 A3,2019,26059,Automatic,6000,Petrol,145,43.5,1.5,Audi,8360
 Sharan,2019,26990,Semi-Auto,4323,Diesel,145,40.9,2.0,VW,2790
 A3,2012,9500,Manual,63945,Diesel,20,68.9,2.0,Audi,30253
 C Class,2015,10499,Automatic,79520,Diesel,145,53.3,2.1,Mercedes,15354
 Up,2018,8950,Manual,8579,Petrol,145,64.2,1.0,VW,30986
 A Class,2019,19786,Semi-Auto,3704,Diesel,145,65.7,1.5,Mercedes,11348
 GLA Class,2020,23990,Semi-Auto,2500,Petrol,145,37.2,1.6,Mercedes,41496
 Q5,2020,39495,Semi-Auto,5000,Petrol,145,32.1,2.0,Audi,14217
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,Mercedes,6052
 2 Series,2018,15199,Manual,14228,Petrol,145,52.3,1.5,BMW,32828
 B Class,2019,22990,Automatic,1539,Diesel,145,55.4,2.0,Mercedes,22230
 X5,2020,65000,Semi-Auto,1435,Petrol,145,23.2,4.4,BMW,5513
 5 Series,2019,30490,Semi-Auto,4754,Hybrid,140,156.9,2.0,BMW,16221
 2 Series,2020,20980,Manual,10,Petrol,145,52.3,1.5,BMW,11371
 Golf SV,2015,8995,Manual,68826,Diesel,30,65.7,2.0,VW,44860
 C Class,2017,22960,Semi-Auto,21225,Diesel,20,67.3,2.1,Mercedes,2177
 A4,2014,14000,Automatic,17803,Petrol,200,42.2,2.0,Audi,26293
 A6,2016,24490,Semi-Auto,47750,Diesel,165,52.3,3.0,Audi,42466
 C Class,2015,16000,Automatic,18263,Petrol,125,52.3,2.0,Mercedes,26357
 A1,2020,22970,Semi-Auto,3015,Petrol,150,44.8,1.0,Audi,6923
 X3,2020,37495,Automatic,4500,Diesel,145,54.3,2.0,BMW,46251
 Touareg,2015,17995,Semi-Auto,57388,Diesel,235,42.8,3.0,VW,1094
 3 Series,2015,17495,Semi-Auto,38249,Diesel,160,51.4,3.0,BMW,13848
 Golf,2017,18490,Semi-Auto,38571,Diesel,125,57.7,2.0,VW,14487
 Q3,2017,16495,Manual,16000,Diesel,30,61.4,2.0,Audi,12849
 Passat,2015,9295,Manual,95450,Diesel,20,68.9,2.0,VW,474
 TT,2016,19690,Semi-Auto,30499,Petrol,165,43.5,2.0,Audi,10303
 C Class,2019,26799,Semi-Auto,2277,Petrol,145,45.6,1.5,Mercedes,15633
 TT,2015,15500,Manual,40000,Petrol,160,46.3,2.0,Audi,5942
 Golf,2019,20995,Manual,1125,Diesel,145,57.7,1.6,VW,43820
 X2,2019,24480,Semi-Auto,2772,Petrol,145,38.7,2.0,BMW,29493
 Q5,2019,44495,Semi-Auto,8700,Hybrid,135,117.7,2.0,Audi,2318
 2 Series,2019,24500,Manual,2631,Diesel,145,55.4,2.0,BMW,7145
 Golf,2016,15346,Automatic,58595,Diesel,30,62.8,2.0,VW,21224
 B Class,2019,20980,Automatic,14345,Petrol,150,45.6,1.3,Mercedes,8740
 Scirocco,2014,9975,Manual,70000,Diesel,20,55.4,2.0,VW,19111
 X5,2019,47990,Semi-Auto,7275,Diesel,145,37.7,3.0,BMW,27088
 Golf,2016,17699,Manual,31999,Petrol,150,47.1,2.0,VW,23760
 C Class,2019,23444,Automatic,13279,Diesel,145,61.4,2.0,Mercedes,39324
 C Class,2019,35991,Automatic,5376,Petrol,145,30.4,3.0,Mercedes,46662
 3 Series,2020,32837,Semi-Auto,1370,Diesel,150,52.3,2.0,BMW,20668
 A3,2018,20990,Automatic,18000,Petrol,150,56.5,1.5,Audi,27071
 GLE Class,2016,35980,Semi-Auto,39056,Diesel,300,39.2,3.0,Mercedes,2567
 Polo,2017,10299,Manual,17406,Petrol,145,60.1,1.2,VW,19107
 2 Series,2016,9800,Manual,56812,Diesel,20,68.9,2.0,BMW,46436
 2 Series,2017,19980,Automatic,25154,Petrol,200,39.8,3.0,BMW,15104
 Tiguan,2019,28450,Automatic,7312,Diesel,145,45.6,2.0,VW,20393
 Up,2013,3999,Manual,57407,Petrol,20,62.8,1.0,VW,9434
 Q5,2018,33990,Semi-Auto,12000,Petrol,145,40.4,2.0,Audi,44260
 Golf,2018,18991,Manual,4868,Petrol,145,45.6,1.5,VW,12310
 Tiguan,2018,17294,Manual,21330,Petrol,145,48.7,2.0,VW,21808
 A6,2017,22602,Semi-Auto,19731,Diesel,145,56.5,2.0,Audi,12244
 4 Series,2016,14998,Manual,24711,Petrol,160,46.3,2.0,BMW,6847
 Q3,2015,16998,Semi-Auto,40858,Diesel,160,50.4,2.0,Audi,8700
 Golf,2019,29999,Automatic,4500,Petrol,145,32.8,2.0,VW,11451
 C Class,2019,30495,Semi-Auto,8771,Petrol,145,44.1,2.0,Mercedes,21029
 1 Series,2016,11200,Manual,54008,Diesel,30,62.8,2.0,BMW,9804
 GLA Class,2015,19991,Semi-Auto,29087,Petrol,200,42.8,2.0,Mercedes,11809
 E Class,2019,26335,Semi-Auto,5690,Diesel,145,67.3,2.0,Mercedes,27002
 A Class,2019,25190,Automatic,2471,Diesel,145,56.5,2.0,Mercedes,12174
 CL Class,2017,18300,Semi-Auto,40684,Diesel,145,58.9,2.1,Mercedes,42347
 Polo,2018,11995,Manual,17969,Petrol,145,64.2,1.0,VW,74
 A3,2015,15399,Automatic,50497,Petrol,160,43.5,1.8,Audi,29866
 A4,2019,24250,Automatic,4601,Diesel,145,51.4,2.0,Audi,33417
 Golf,2017,19780,Semi-Auto,40321,Hybrid,135,156.9,1.4,VW,11911
 4 Series,2017,23290,Semi-Auto,28893,Diesel,145,50.4,3.0,BMW,41441
 C Class,2019,24299,Automatic,5098,Petrol,145,44.1,1.5,Mercedes,5361
 Up,2019,9790,Manual,87,Petrol,145,54.3,1.0,VW,34467
 A3,2017,19698,Semi-Auto,18389,Petrol,145,57.7,1.5,Audi,23270
 Tiguan,2020,24998,Manual,10,Diesel,150,47.9,2.0,VW,3884
 Arteon,2019,25990,Semi-Auto,11412,Diesel,145,50.4,2.0,VW,1856
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,Mercedes,38462
 A3,2017,18250,Manual,15000,Petrol,150,54.3,1.5,Audi,27449
 X3,2016,20090,Semi-Auto,45734,Diesel,145,54.3,2.0,BMW,11596
 A1,2018,16999,Manual,16911,Petrol,150,51.4,1.0,Audi,41772
 C Class,2018,17999,Semi-Auto,15998,Diesel,145,64.2,2.1,Mercedes,29547
 Q2,2017,20490,Semi-Auto,15992,Diesel,145,58.9,2.0,Audi,44722
 A1,2013,9481,Manual,18894,Petrol,30,55.4,1.2,Audi,11370
 A4,2019,23995,Automatic,5363,Petrol,145,39.8,2.0,Audi,26262
 1 Series,2016,11799,Manual,37549,Diesel,20,70.6,1.5,BMW,16768
 A4,2019,25000,Semi-Auto,10000,Diesel,145,49.6,2.0,Audi,34888
 C Class,2016,38349,Semi-Auto,22000,Petrol,300,34.5,4.0,Mercedes,27990
 A Class,2013,9259,Manual,74149,Diesel,20,72.4,1.5,Mercedes,28507
 A1,2017,12230,Manual,39999,Petrol,145,58.9,1.4,Audi,21969
 4 Series,2019,24998,Semi-Auto,3214,Diesel,150,65.7,2.0,BMW,5117
 A6,2019,28990,Automatic,9500,Diesel,145,47.9,2.0,Audi,17087
 Golf,2019,20995,Manual,592,Petrol,145,47.1,1.5,VW,23592
 E Class,2018,34980,Semi-Auto,6897,Diesel,145,41.5,3.0,Mercedes,35543
 C Class,2019,33699,Automatic,1000,Petrol,145,44.1,2.0,Mercedes,4289
 Tiguan,2016,14491,Manual,24111,Diesel,150,53.3,2.0,VW,13323
 Polo,2018,14490,Semi-Auto,12146,Petrol,145,45.6,1.0,VW,30919
 Golf,2019,22750,Semi-Auto,8000,Diesel,145,49.6,2.0,VW,24648
 Polo,2020,13999,Manual,5000,Petrol,145,47.9,1.0,VW,3685
 Q5,2018,27777,Semi-Auto,13199,Diesel,145,55.4,2.0,Audi,31235
 Golf SV,2016,10999,Manual,25103,Diesel,30,65.7,2.0,VW,10276
 Polo,2016,9450,Manual,22748,Petrol,20,60.1,1.2,VW,980
 C Class,2019,28980,Automatic,8501,Diesel,145,61.4,2.0,Mercedes,38949
 3 Series,2019,22998,Semi-Auto,20175,Diesel,145,60.1,2.0,BMW,9906
 Polo,2019,19891,Semi-Auto,3987,Petrol,145,39.8,2.0,VW,20843
 Polo,2016,11998,Manual,11628,Petrol,0,65.7,1.0,VW,12854
 Golf,2016,16998,Manual,21701,Diesel,20,67.3,2.0,VW,2934
 Golf,2018,23799,Automatic,8725,Petrol,145,37.7,2.0,VW,30075
 C Class,2016,19999,Automatic,23905,Diesel,30,64.2,2.1,Mercedes,27166
 C Class,2017,22495,Automatic,12028,Diesel,145,58.9,2.1,Mercedes,9795
 A6,2019,32991,Automatic,4500,Diesel,145,47.9,2.0,Audi,29521
 Golf,2017,19395,Manual,21466,Diesel,145,60.1,2.0,VW,20379
 A4,2014,12750,Semi-Auto,44488,Diesel,150,53.3,2.0,Audi,13712
 SL CLASS,2017,21998,Semi-Auto,4657,Diesel,145,70.6,2.1,Mercedes,5133
 C Class,2017,18372,Semi-Auto,26508,Petrol,145,50.4,2.0,Mercedes,20932
 Golf,2018,15200,Manual,11534,Petrol,145,47.1,1.5,VW,20342
 Golf SV,2016,11490,Manual,26027,Petrol,30,55.4,1.4,VW,21271
 A4,2019,43990,Semi-Auto,5505,Diesel,150,40.4,3.0,Audi,9269
 A Class,2016,14490,Manual,33626,Petrol,145,49.6,1.6,Mercedes,19909
 A Class,2017,15499,Manual,20753,Diesel,145,68.9,1.5,Mercedes,41337
 GLA Class,2017,17699,Manual,28500,Petrol,145,47.1,1.6,Mercedes,20286
 C Class,2019,31009,Automatic,2900,Diesel,145,51.4,2.0,Mercedes,3048
 1 Series,2017,21498,Semi-Auto,26072,Petrol,200,39.8,3.0,BMW,909
 Tiguan,2015,13995,Manual,38000,Diesel,145,53.3,2.0,VW,26241
 Polo,2016,9790,Manual,20010,Petrol,20,58.9,1.0,VW,11649
 Polo,2017,10162,Manual,17049,Petrol,20,60.1,1.0,VW,14789
 GLA Class,2015,17495,Semi-Auto,58000,Diesel,125,56.5,2.1,Mercedes,40861
 E Class,2019,42399,Semi-Auto,2293,Petrol,145,32.9,2.0,Mercedes,23070
 A Class,2019,22999,Semi-Auto,510,Petrol,145,53.3,1.3,Mercedes,43259
 Polo,2014,6995,Manual,44250,Petrol,20,60.1,1.2,VW,14561
 A Class,2019,19599,Automatic,5201,Diesel,145,65.7,1.5,Mercedes,1953
 A4,2017,20895,Automatic,17774,Petrol,145,52.3,2.0,Audi,17882
 A1,2017,14790,Semi-Auto,15663,Petrol,150,56.5,1.4,Audi,45741
 5 Series,2019,31460,Automatic,1200,Diesel,145,62.8,2.0,BMW,9851
 Q7,2014,24500,Semi-Auto,37252,Diesel,300,39.2,3.0,Audi,6574
 X1,2019,27890,Semi-Auto,4884,Petrol,145,44.8,2.0,BMW,1252
 Q2,2019,24750,Automatic,5295,Petrol,150,40.9,1.5,Audi,12444
 A4,2019,28490,Automatic,2000,Diesel,145,44.8,2.0,Audi,23263
 A3,2016,11999,Automatic,41085,Diesel,0,74.3,1.6,Audi,6244
 X1,2019,28383,Manual,999,Diesel,145,68.9,2.0,BMW,44387
 Passat,2020,23000,Manual,2000,Petrol,145,45.6,1.5,VW,11291
 A3,2016,16298,Semi-Auto,43014,Diesel,125,57.6,2.0,Audi,34288
 2 Series,2017,16172,Manual,13357,Diesel,20,74.3,1.5,BMW,34650
 Golf,2017,18000,Semi-Auto,31734,Diesel,145,57.7,2.0,VW,14922
 3 Series,2017,15349,Automatic,53347,Hybrid,0,148.7,2.0,BMW,14196
 X3,2019,31190,Semi-Auto,14594,Petrol,145,30.4,2.0,BMW,2541
 A4,2015,9249,Manual,84638,Diesel,20,67.3,2.0,Audi,24804
 A6,2018,19995,Manual,38000,Diesel,145,61.4,2.0,Audi,31606
 2 Series,2019,22875,Semi-Auto,2144,Petrol,145,50.4,1.5,BMW,39172
 A3,2015,9350,Manual,56726,Diesel,20,68.9,2.0,Audi,31302
 A3,2016,11999,Manual,31223,Diesel,20,67.3,2.0,Audi,18633
 Tiguan,2019,31726,Semi-Auto,6421,Diesel,145,35.3,2.0,VW,25978
 C Class,2017,23998,Semi-Auto,14462,Diesel,20,67.3,2.1,Mercedes,358
 Q5,2019,37395,Automatic,1000,Diesel,145,38.2,2.0,Audi,5155
 A3,2009,3500,Manual,135800,Diesel,150,55.4,2.0,Audi,14379
 Polo,2017,8495,Manual,38214,Petrol,20,60.1,1.0,VW,45829
 Polo,2016,9990,Manual,11780,Petrol,20,60.1,1.2,VW,6511
 Tiguan,2013,9500,Semi-Auto,73707,Diesel,205,47.7,2.0,VW,1903
 3 Series,2018,18010,Manual,36039,Diesel,145,58.9,2.0,BMW,10151
 5 Series,2019,27840,Semi-Auto,3829,Petrol,145,50.4,2.0,BMW,24024
 Q3,2019,32888,Semi-Auto,6022,Petrol,145,32.1,2.0,Audi,28688
 V Class,2018,21996,Manual,34483,Diesel,145,46.3,2.1,Mercedes,18645
 B Class,2016,13980,Automatic,43376,Diesel,20,68.9,1.5,Mercedes,30603
 E Class,2019,33995,Semi-Auto,5000,Diesel,145,45.6,2.0,Mercedes,39722
 Golf,2015,8990,Manual,30000,Petrol,30,53.3,1.4,VW,17362
 C Class,2014,16450,Semi-Auto,27032,Diesel,30,64.2,2.1,Mercedes,14660
 1 Series,2019,20875,Manual,5599,Petrol,145,44.1,1.5,BMW,34328
 Golf,2016,14990,Manual,37475,Diesel,20,67.3,2.0,VW,34080
 Polo,2019,15985,Manual,2057,Petrol,145,52.3,1.0,VW,6484
 E Class,2017,22999,Semi-Auto,14695,Diesel,145,61.4,2.0,Mercedes,2640
 C Class,2013,9500,Semi-Auto,75572,Diesel,145,54.3,2.1,Mercedes,375
 C Class,2017,20599,Automatic,17324,Diesel,145,58.9,2.1,Mercedes,42831
 Q5,2019,34995,Automatic,6400,Diesel,145,38.2,2.0,Audi,12810
 1 Series,2013,7340,Manual,85871,Petrol,145,49.6,1.6,BMW,20044
 C Class,2019,19849,Semi-Auto,13938,Petrol,145,46.3,1.5,Mercedes,14041
 Polo,2016,9991,Manual,16577,Petrol,20,60.1,1.2,VW,8121
 GLA Class,2017,16498,Manual,32917,Diesel,30,64.2,2.1,Mercedes,29390
 CLS Class,2016,21498,Semi-Auto,35474,Diesel,165,51.4,3.0,Mercedes,23943
 GLA Class,2017,14950,Manual,54952,Diesel,30,64.2,2.1,Mercedes,10548
 Passat,2019,14298,Manual,14412,Petrol,145,47.1,1.5,VW,30261
 Golf,2016,7800,Manual,76520,Diesel,0,74.3,1.6,VW,11906
 1 Series,2020,21450,Manual,1905,Petrol,145,44.1,1.5,BMW,31779
 Polo,2017,10400,Manual,21233,Petrol,145,60.1,1.2,VW,22831
 A Class,2020,24729,Semi-Auto,1000,Diesel,145,67.3,1.5,Mercedes,45576
 3 Series,2019,34995,Semi-Auto,2000,Diesel,145,47.9,3.0,BMW,35734
 A Class,2015,9940,Manual,69010,Diesel,20,72.4,1.5,Mercedes,46347
 CL Class,2015,16000,Semi-Auto,57695,Diesel,20,62.8,2.1,Mercedes,16330
 A Class,2019,17728,Automatic,15025,Diesel,145,65.7,1.5,Mercedes,17582
 4 Series,2016,15750,Automatic,37484,Diesel,30,65.7,2.0,BMW,20505
 2 Series,2019,27990,Semi-Auto,1614,Diesel,145,49.6,2.0,BMW,26509
 TT,2016,17500,Manual,19542,Diesel,30,62.8,2.0,Audi,15942
 Tiguan,2019,29995,Semi-Auto,1438,Diesel,145,45.6,2.0,VW,2483
 Touareg,2019,41032,Semi-Auto,8310,Diesel,145,34.0,3.0,VW,32770
 A1,2015,12762,Manual,28418,Petrol,30,58.9,1.4,Audi,38771
 Polo,2019,12995,Manual,11756,Petrol,145,48.7,1.0,VW,26994
 5 Series,2002,1595,Automatic,115000,Petrol,325,28.5,2.2,BMW,44738
 Q2,2017,18498,Manual,11133,Petrol,145,52.3,1.4,Audi,42495
 1 Series,2016,12498,Manual,38276,Diesel,20,70.6,1.5,BMW,44034
 5 Series,2019,26771,Semi-Auto,6260,Petrol,150,50.4,2.0,BMW,32498
 A3,2016,7791,Manual,122000,Diesel,0,74.3,1.6,Audi,995
 Passat,2016,9790,Semi-Auto,67022,Diesel,30,62.8,2.0,VW,11858
 C Class,2019,26500,Semi-Auto,3000,Diesel,145,60.1,1.6,Mercedes,43166
 Tiguan,2016,16999,Manual,14003,Diesel,125,58.9,2.0,VW,41178
 2 Series,2016,10400,Manual,68489,Diesel,30,64.2,2.0,BMW,16639
 Polo,2019,14176,Manual,5630,Petrol,145,47.9,1.0,VW,16176
 1 Series,2019,19689,Manual,1581,Diesel,145,70.6,1.5,BMW,23189
 A3,2013,8498,Manual,58867,Petrol,125,53.3,1.4,Audi,5734
 A Class,2019,18200,Automatic,12473,Diesel,145,68.9,1.5,Mercedes,17994
 2 Series,2015,10706,Manual,27562,Diesel,20,68.9,2.0,BMW,35776
 X1,2019,26980,Semi-Auto,6744,Petrol,150,39.2,2.0,BMW,41212
 A6,2016,17300,Automatic,24421,Diesel,30,61.4,2.0,Audi,29125
